,Title,Link,Image,Author,Date,time,key takeaways / Agenda,†Free/Paid
64,Webinar: Going from Zero to Hero with Your Product by CNN Sr PM,https://www.eventbrite.com/e/webinar-going-from-zero-to-hero-with-your-product-by-cnn-sr-pm-tickets-110610972396?aff=pswebsite,https://www.productschool.com/wp-content/themes/productschool-v3//build/assets/favicon/apple-touch-icon.png,Narain Bala,"Thursday, July 23rd, 2020",11:30AM - 12:00PM (PT) ,,Free
65,Webinar: Growth Optimization: Metrics & Frameworks by fmr Airbnb PM,https://www.eventbrite.com/e/webinar-growth-optimization-metrics-frameworks-by-fmr-airbnb-pm-tickets-109291720478?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2017/01/11133513/AirBnB-square.png,Michael Houck,"Thursday, July 23rd, 2020",2:00PM - 2:30PM (PT) ,,Free
66,Webinar: Setup Your Team for Remote Product Discovery by CNN Sr PM,https://www.eventbrite.com/e/webinar-setup-your-team-for-remote-product-discovery-by-cnn-sr-pm-tickets-106949520896?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/07/10090855/CNN-SQUARE.png,Jarrett Blankenship,"Friday, July 24th, 2020",11:30AM - 12:00PM (PT) ,,Free
67,Webinar: Working Cross-Functionally as a PM by eBay Sr PM,https://www.eventbrite.com/e/webinar-working-cross-functionally-as-a-pm-by-ebay-sr-pm-tickets-110610974402?aff=pswebsite,https://www.productschool.com/wp-content/themes/productschool-v3//build/assets/favicon/apple-touch-icon.png,Shrikant Kadu,"Friday, July 24th, 2020",2:00PM - 2:30PM (PT) ,,Free
68,Webinar: How to Work with Engineers as PM by Google Product Lead,https://www.eventbrite.com/e/how-to-work-with-engineering-as-pms-by-google-product-lead-tickets-89776372547?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/09/16142253/google_logo_square-e1539700004251.jpg,Israel Shalom,"Saturday, July 25th, 2020",11:30AM - 12:00PM (PT) ,,Free
69,Webinar: How to Get a Group on the Same Page by Google PM,https://www.eventbrite.com/e/webinar-how-to-get-a-group-on-the-same-page-by-google-pm-tickets-109139643612?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/09/16142253/google_logo_square-e1539700004251.jpg,Darko Vukovic,"Sunday, July 26th, 2020",11:30AM - 12:00PM (PT) ,,Free
70,Webinar: B2B vs B2C Product Management by Uber Sr PM,https://www.eventbrite.com/e/webinar-b2b-vs-b2c-product-management-by-uber-sr-pm-tickets-110255152128?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/10/15160145/uber_logo_square.png,Shobha Subramanian,"Monday, July 27th, 2020",11:30AM - 12:00PM (PT) ,,Free
71,Product Management Live Chat by Uber Product Lead,https://www.eventbrite.com/e/product-management-live-chat-by-uber-product-lead-tickets-102683872226?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2017/01/08135806/Uber-circle-19.jpg,Sunil Parekh,"Tuesday, July 28th, 2020",10:30AM - 11:00AM ,,Free
72,Webinar: Remote Product Management by fmr Google PM,https://www.eventbrite.com/e/webinar-remote-product-management-by-google-pm-tickets-109805124082?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/09/16142253/google_logo_square-e1539700004251.jpg,Vivek Gandhi,"Tuesday, July 28th, 2020",11:30AM - 12:00PM (PT) ,,Free
73,Fireside Chat with Mural CEO,https://www.eventbrite.com/e/fireside-chat-with-mural-ceo-tickets-106217567604?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2020/05/18132118/Mural.png,Carlos Gonz√°lez De Villaumbrosia and Mariano Suarez Battan,"Tuesday, July 28th, 2020",1:00PM - 1:30PM (PT) ,,Free
74,How to Hack Your Linkedin Profile for Product Managers,https://www.eventbrite.com/e/webinar-how-to-optimize-your-linkedin-profile-to-land-a-pm-job-tickets-96864206449?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2019/12/23172919/Linkedin_logo_new.png,"Wednesday, July 29th, 2020",11:30AM - 12:00PM (PT) ,Online,,Free
75,Product Management Live Chat by fmr Amazon PM,https://www.eventbrite.com/e/product-management-live-chat-by-fmr-amzon-pm-tickets-105112747056?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/09/27092856/Amazon-Alexa1.png,Vyom Nagrani,"Thursday, July 30th, 2020",10:30AM - 11:00AM (PT) ,,Free
